,dateRep,day,month,year,cases,deaths,countriesAndTerritories,geoId,countryterritoryCode,popData2019,continentExp
291,17/02/2020,17,2,2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia
292,16/02/2020,16,2,2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia
293,15/02/2020,15,2,2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia
294,14/02/2020,14,2,2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia
295,13/02/2020,13,2,2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia
296,12/02/2020,12,2,2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia
297,11/02/2020,11,2,2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia
298,10/02/2020,10,2,2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia
299,09/02/2020,9,2,2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia
300,08/02/2020,8,2,2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia
301,07/02/2020,7,2,2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia
302,06/02/2020,6,2,2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia
303,05/02/2020,5,2,2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia
304,04/02/2020,4,2,2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia
305,03/02/2020,3,2,2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia
306,02/02/2020,2,2,2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia
307,01/02/2020,1,2,2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia
